office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes
Ecole Mourabitoune,Ksar,Nouakchott Ouest,483,273,18,2,253,75,103,7,33,0,35
Ecole Cheikh Hamahoullah,Arafat,Nouakchott Sud,516,357,16,4,337,155,39,13,8,3,119
Ecole 4,Djiguenni,Hodh Chargui,543,399,5,0,394,200,1,1,0,0,192
Tewfik Ecole 1,Ouad Naga,Trarza,271,140,1,2,137,73,31,1,4,1,27
El Kawthar,Ouad Naga,Trarza,120,87,2,2,83,58,0,0,0,0,25
Taiba Ecole,Ouad Naga,Trarza,285,157,1,2,154,88,3,2,1,0,60
Ecole 4,Mederdra,Trarza,121,83,2,1,80,45,5,0,0,0,30
Lycée,Ouad Naga,Trarza,523,261,5,0,256,52,6,3,2,0,193
Tenwakoudeil,Ouad Naga,Trarza,150,107,2,0,105,62,1,0,0,0,42
Evedjar,Ouad Naga,Trarza,94,70,1,1,68,47,2,3,0,0,16
Teveritt,Ouad Naga,Trarza,379,231,7,8,216,129,15,5,0,0,67
Tenadi El jedida,Ouad Naga,Trarza,104,89,1,0,88,72,1,0,0,0,15
Tewfik Ecole 1,Ouad Naga,Trarza,377,198,6,2,190,75,18,4,2,0,91
Collège 1,Riyad,Nouakchott Sud,504,424,17,6,401,83,135,1,154,3,25
Ecole 7,Nouadhibou,Dakhlet Nouadhibou,597,394,5,6,383,132,113,12,16,2,108
Ecole El Mebrouk,Boghé,Brakna,390,210,5,2,203,118,2,3,21,1,58
Erken,Bassiknou,Hodh Chargui,356,179,5,1,173,147,0,1,1,0,24
Ecole Tizigrez,Atar,Adrar,377,123,6,0,117,85,8,0,0,0,24
Ecole 2 de Guerou,Guerou,Assaba,549,0,0,0,0,0,0,0,0,0,0
Ecole Bilal 2,Koubenni,Hodh El Gharbi,567,268,5,0,263,129,28,10,0,0,96
Enegm Ecole,Ouad Naga,Trarza,123,106,3,0,103,67,2,2,0,0,32
Erken,Bassiknou,Hodh Chargui,356,140,4,0,136,86,0,1,1,0,48
Ecole Salah Eddine,Kiffa,Assaba,413,226,8,1,217,48,79,3,0,1,86
Mouftah El kheir,Boghé,Brakna,302,154,6,0,148,25,84,5,2,1,31
Collège 1,Zoueratt,Tiris Zemmour,424,287,7,5,275,85,64,23,2,2,99
Lycée,Tintane,Hodh El Gharbi,490,214,10,2,202,133,22,3,4,2,38
Aleg,Timbedra,Hodh Chargui,271,169,6,0,163,103,0,2,1,0,57
Ecole Ougba Ben Navaa,Arafat,Nouakchott Sud,310,243,1,3,239,103,70,2,7,3,54
Dispensaire Chami,Chami,Dakhlet Nouadhibou,559,143,6,1,136,72,13,2,1,0,48
Faculté de Droit,Ksar,Nouakchott Ouest,307,187,2,7,178,98,31,5,4,0,40
CAC,Zoueratt,Tiris Zemmour,453,303,9,1,293,140,27,4,21,1,100
Ecole Nivrar,Mederdra,Trarza,129,95,11,1,83,77,0,1,1,0,4
Laamoud Elguarbi,Ouad Naga,Trarza,190,134,2,3,129,83,26,2,0,2,16
Ecole 1 Bagdad,Guerou,Assaba,559,268,13,0,255,147,13,4,1,2,88
Ecole Oubey Ibn Kaab,Arafat,Nouakchott Sud,520,424,2,11,411,221,50,11,13,5,111
Ecole Beder,Kiffa,Assaba,387,182,3,2,177,116,24,2,1,4,30
Oum Ladham,Timbedra,Hodh Chargui,318,209,6,0,203,157,0,0,1,5,40
Knata,Bassiknou,Hodh Chargui,71,37,0,0,37,33,2,0,0,1,1
Ecole Aleh Yasser,Koubenni,Hodh El Gharbi,444,236,8,0,228,137,34,3,1,0,53
Ecole 3,Atar,Adrar,357,185,5,1,179,98,21,1,7,1,51
Ecole proche Nessiba,El Mina,Nouakchott Sud,179,122,11,0,111,41,37,2,9,1,21
Eribat,Koubenni,Hodh El Gharbi,79,34,0,0,34,30,0,0,0,0,4
Hotel de Ville,Magtalahjar,Brakna,522,325,9,2,314,187,20,5,1,0,101
Tabye,Tintane,Hodh El Gharbi,545,207,6,0,201,135,5,3,0,1,57
Roty,Boghé,Brakna,417,277,15,7,255,38,157,7,40,1,12
Ecole 4,Kiffa,Assaba,447,273,9,1,263,161,73,10,6,0,13
Maison du Livre,Amourj,Hodh Chargui,354,139,3,0,136,120,8,0,0,0,8
Ecole Cheikh Souleymane Ball,Sebkha,Nouakchott Ouest,508,350,11,7,332,53,158,4,99,1,17
Echgheta,Koubenni,Hodh El Gharbi,123,85,8,0,77,34,36,2,1,0,4
Tertaygueh,Koubenni,Hodh El Gharbi,254,149,2,0,147,64,12,0,0,0,71
Commune de Ouadane,Ouadane,Adrar,230,125,0,2,123,94,5,0,0,0,24
CAC,Zoueratt,Tiris Zemmour,453,314,13,1,300,141,25,8,7,1,118
Ecole 2,Ksar,Nouakchott Ouest,533,317,16,3,298,103,78,18,11,2,86
Bureaux de la Commune,Arafat,Nouakchott Sud,456,302,5,2,295,94,53,11,46,1,90
Ecoel Hassi El Barka,Keur Macène,Trarza,443,259,8,2,249,143,32,4,1,0,69
Bureaux de Commune,Oualata,Hodh Chargui,236,100,4,0,96,58,0,1,0,1,36
kraye lemzayrive,Oualata,Hodh Chargui,66,42,0,0,42,36,0,0,0,0,6
Bureaux de Commune,Oualata,Hodh Chargui,261,128,5,1,122,61,3,0,1,2,55
Commune Nbeika,Moudjeria,Tagant,487,234,4,1,229,133,9,6,1,1,79
Akwan 2,Koubenni,Hodh El Gharbi,171,88,6,0,82,42,0,4,30,1,5
Swiel - Lmrya,Koubenni,Hodh El Gharbi,104,88,0,0,88,77,0,0,0,0,11
Collège 1,Sebkha,Nouakchott Ouest,454,298,12,2,284,32,159,4,75,0,14
EL Bassra El Garbiye,Aïoun,Hodh El Gharbi,114,96,2,0,94,87,0,0,0,1,6
Ecole 5,Sélibaby,Guidimagha,324,236,26,0,210,32,150,2,14,0,12
Collège Nbeika,Moudjeria,Tagant,584,277,3,1,273,148,8,14,0,0,103
Ecole N'Diorol,Boghé,Brakna,588,468,19,4,445,276,26,9,108,1,25
Ecole 2,Monguel,Gorgol,565,216,6,0,210,121,51,8,6,0,24
Ecole Ebnaji,Keur Macène,Trarza,568,342,5,3,334,221,26,4,1,0,82
Ecole 2,F'Deirick,Tiris Zemmour,518,296,15,4,277,186,5,6,1,2,77
Ecole Tevragh Zeina,Néma,Hodh Chargui,170,119,5,1,113,68,0,0,0,1,44
Ecole Sagatar,Kiffa,Assaba,388,180,32,0,148,90,19,17,4,1,17
Palais de Justice,Néma,Hodh Chargui,480,225,7,2,216,86,20,1,5,7,97
Palais de Justice,Néma,Hodh Chargui,481,215,15,1,199,97,28,4,5,6,59
Lycée de Néma,Néma,Hodh Chargui,560,241,5,2,234,142,15,3,4,5,65
Nezahe,Néma,Hodh Chargui,173,119,0,0,119,104,0,1,0,0,14
Délégation Regionale de Développement Rurale,Néma,Hodh Chargui,439,237,8,2,227,143,9,1,1,34,39
Ecole Charatt,Mederdra,Trarza,372,237,3,1,233,169,9,5,0,1,49
Ecole 2,Ksar,Nouakchott Ouest,571,326,22,8,296,110,65,16,9,2,94
Ecole 2,Néma,Hodh Chargui,464,234,6,0,228,150,34,1,2,4,37
Bureaux de la Commune,Arafat,Nouakchott Sud,456,329,8,8,313,134,44,14,40,1,80
El Metguedmat,Timbedra,Hodh Chargui,297,198,2,0,196,132,2,0,0,2,60
Hsey Idar,R'Kiz,Trarza,108,91,0,0,91,88,0,0,0,0,3
Ecole 12,Zoueratt,Tiris Zemmour,266,199,11,2,186,81,13,10,16,0,66
Ecole 5,Sélibaby,Guidimagha,324,230,20,0,210,28,145,2,20,0,15
