,state_code,state,county,town,center,center_id,office_id,registered,voted,void,neutral,suffrage,candidate_votes,candidate
42,1,Hodh Chargui,Amourj,Amourj,Ecole 2,1,2,452,187,7,1,179,134,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
43,1,Hodh Chargui,Amourj,Amourj,Ecole 2,1,2,452,187,7,1,179,39,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
44,1,Hodh Chargui,Amourj,Amourj,Ecole 2,1,2,452,187,7,1,179,3,Biram Dah Dah ABEID (Biram)
45,1,Hodh Chargui,Amourj,Amourj,Ecole 2,1,2,452,187,7,1,179,1,Mohamed Sidi MAOULOUD (Maouloud)
46,1,Hodh Chargui,Amourj,Amourj,Ecole 2,1,2,452,187,7,1,179,2,Mohamed Lemine El Mourteji El WAVI (Wavi)
47,1,Hodh Chargui,Amourj,Amourj,Ecole 2,1,2,452,187,7,1,179,0,KANE Hamidou Baba (Kane)
48,6,Trarza,Ouad Naga,Ouad Naga,El Beled El Emin,13,1,157,78,1,0,77,22,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
49,6,Trarza,Ouad Naga,Ouad Naga,El Beled El Emin,13,1,157,78,1,0,77,53,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
50,6,Trarza,Ouad Naga,Ouad Naga,El Beled El Emin,13,1,157,78,1,0,77,1,Biram Dah Dah ABEID (Biram)
51,6,Trarza,Ouad Naga,Ouad Naga,El Beled El Emin,13,1,157,78,1,0,77,1,Mohamed Sidi MAOULOUD (Maouloud)
52,6,Trarza,Ouad Naga,Ouad Naga,El Beled El Emin,13,1,157,78,1,0,77,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
53,6,Trarza,Ouad Naga,Ouad Naga,El Beled El Emin,13,1,157,78,1,0,77,0,KANE Hamidou Baba (Kane)
54,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,2,308,136,5,2,129,95,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
55,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,2,308,136,5,2,129,23,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
56,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,2,308,136,5,2,129,7,Biram Dah Dah ABEID (Biram)
57,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,2,308,136,5,2,129,1,Mohamed Sidi MAOULOUD (Maouloud)
58,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,2,308,136,5,2,129,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
59,1,Hodh Chargui,Bassiknou,Bassiknou,Hsey Lebyadh,7,2,308,136,5,2,129,2,KANE Hamidou Baba (Kane)
60,11,Tiris Zemmour,F'Deirick,F'Deirick,Ecole 1,4,1,312,129,1,2,126,65,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
61,11,Tiris Zemmour,F'Deirick,F'Deirick,Ecole 1,4,1,312,129,1,2,126,45,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
62,11,Tiris Zemmour,F'Deirick,F'Deirick,Ecole 1,4,1,312,129,1,2,126,11,Biram Dah Dah ABEID (Biram)
63,11,Tiris Zemmour,F'Deirick,F'Deirick,Ecole 1,4,1,312,129,1,2,126,3,Mohamed Sidi MAOULOUD (Maouloud)
64,11,Tiris Zemmour,F'Deirick,F'Deirick,Ecole 1,4,1,312,129,1,2,126,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
65,11,Tiris Zemmour,F'Deirick,F'Deirick,Ecole 1,4,1,312,129,1,2,126,1,KANE Hamidou Baba (Kane)
66,9,Tagant,Moudjeria,Moudjeria,Ecole 2 Moudjeria,2,2,329,196,6,0,190,152,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
67,9,Tagant,Moudjeria,Moudjeria,Ecole 2 Moudjeria,2,2,329,196,6,0,190,18,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
68,9,Tagant,Moudjeria,Moudjeria,Ecole 2 Moudjeria,2,2,329,196,6,0,190,7,Biram Dah Dah ABEID (Biram)
69,9,Tagant,Moudjeria,Moudjeria,Ecole 2 Moudjeria,2,2,329,196,6,0,190,12,Mohamed Sidi MAOULOUD (Maouloud)
70,9,Tagant,Moudjeria,Moudjeria,Ecole 2 Moudjeria,2,2,329,196,6,0,190,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
71,9,Tagant,Moudjeria,Moudjeria,Ecole 2 Moudjeria,2,2,329,196,6,0,190,1,KANE Hamidou Baba (Kane)
72,2,Hodh El Gharbi,Tamcheket,Tamcheket,Elevage,1,1,429,264,12,0,252,199,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
73,2,Hodh El Gharbi,Tamcheket,Tamcheket,Elevage,1,1,429,264,12,0,252,26,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
74,2,Hodh El Gharbi,Tamcheket,Tamcheket,Elevage,1,1,429,264,12,0,252,22,Biram Dah Dah ABEID (Biram)
75,2,Hodh El Gharbi,Tamcheket,Tamcheket,Elevage,1,1,429,264,12,0,252,5,Mohamed Sidi MAOULOUD (Maouloud)
76,2,Hodh El Gharbi,Tamcheket,Tamcheket,Elevage,1,1,429,264,12,0,252,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
77,2,Hodh El Gharbi,Tamcheket,Tamcheket,Elevage,1,1,429,264,12,0,252,0,KANE Hamidou Baba (Kane)
78,3,Assaba,Kiffa,Kiffa,Dispensaire Seif,7,2,411,183,3,3,177,134,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
79,3,Assaba,Kiffa,Kiffa,Dispensaire Seif,7,2,411,183,3,3,177,12,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
80,3,Assaba,Kiffa,Kiffa,Dispensaire Seif,7,2,411,183,3,3,177,25,Biram Dah Dah ABEID (Biram)
81,3,Assaba,Kiffa,Kiffa,Dispensaire Seif,7,2,411,183,3,3,177,4,Mohamed Sidi MAOULOUD (Maouloud)
82,3,Assaba,Kiffa,Kiffa,Dispensaire Seif,7,2,411,183,3,3,177,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
83,5,Brakna,Aleg,Aleg,Ecole 1,2,1,238,166,6,3,157,76,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
84,3,Assaba,Kiffa,Kiffa,Dispensaire Seif,7,2,411,183,3,3,177,1,KANE Hamidou Baba (Kane)
85,5,Brakna,Aleg,Aleg,Ecole 1,2,1,238,166,6,3,157,40,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
86,5,Brakna,Aleg,Aleg,Ecole 1,2,1,238,166,6,3,157,33,Biram Dah Dah ABEID (Biram)
87,5,Brakna,Aleg,Aleg,Ecole 1,2,1,238,166,6,3,157,1,Mohamed Sidi MAOULOUD (Maouloud)
88,5,Brakna,Aleg,Aleg,Ecole 1,2,1,238,166,6,3,157,0,Mohamed Lemine El Mourteji El WAVI (Wavi)
89,5,Brakna,Aleg,Aleg,Ecole 1,2,1,238,166,6,3,157,7,KANE Hamidou Baba (Kane)
90,4,Gorgol,M'Bout,M'Bout,Ecole 1,1,2,525,277,9,2,266,112,Biram Dah Dah ABEID (Biram)
91,4,Gorgol,M'Bout,M'Bout,Ecole 1,1,2,525,277,9,2,266,17,KANE Hamidou Baba (Kane)
92,4,Gorgol,M'Bout,M'Bout,Ecole 1,1,2,525,277,9,2,266,112,Mohamed Cheïkh Mohamed Ahmed ElGHAZOUANI (Ghazouani)
93,4,Gorgol,M'Bout,M'Bout,Ecole 1,1,2,525,277,9,2,266,1,Mohamed Lemine El Mourteji El WAVI (Wavi)
94,4,Gorgol,M'Bout,M'Bout,Ecole 1,1,2,525,277,9,2,266,5,Mohamed Sidi MAOULOUD (Maouloud)
95,4,Gorgol,M'Bout,M'Bout,Ecole 1,1,2,525,277,9,2,266,19,Sidi Mohamed Boubacar BOUSSALEF (Boubacar)
