office_name,county_name,state_name,registered,voted,void,neutral,suffrage,ghazouani_votes,biram_votes,mewloud_votes,kane_votes,wavi_votes,boubacar_votes,gaz_perct,biram_perct,mewloud_perct,kane_perct,wavi_perct,boubacar_perct,turnout
Ecole Tak,Maghama,Gorgol,338,241,5,3,233,68,72,26,61,1,5,0.2918454935622318,0.3090128755364807,0.11158798283261803,0.26180257510729615,0.004291845493562232,0.02145922746781116,71.3
Ecole Dar  Salama,Dar Naïm,Nouakchott Nord,545,258,4,5,249,112,38,9,4,3,83,0.4497991967871486,0.15261044176706828,0.03614457831325301,0.01606425702811245,0.012048192771084338,0.3333333333333333,47.34
Ecole 2,Sélibaby,Guidimagha,518,341,6,3,332,38,206,1,80,0,7,0.1144578313253012,0.6204819277108434,0.0030120481927710845,0.24096385542168675,0.0,0.02108433734939759,65.83
PMI,Bassiknou,Hodh Chargui,556,211,6,0,205,127,9,6,5,2,56,0.6195121951219512,0.04390243902439024,0.02926829268292683,0.024390243902439025,0.00975609756097561,0.2731707317073171,37.95
Ecole Zahra,Dar Naïm,Nouakchott Nord,589,450,34,4,412,176,72,16,45,0,103,0.42718446601941745,0.17475728155339806,0.038834951456310676,0.10922330097087378,0.0,0.25,76.4
Ecole Youssef Ben Tachefine,Dar Naïm,Nouakchott Nord,472,275,3,3,269,113,52,11,2,0,91,0.4200743494423792,0.19330855018587362,0.040892193308550186,0.007434944237918215,0.0,0.3382899628252788,58.26
Ecole Tensoueilim 1,Dar Naïm,Nouakchott Nord,568,388,7,6,375,159,60,13,32,0,111,0.424,0.16,0.034666666666666665,0.08533333333333333,0.0,0.296,68.31
Collège 1,Arafat,Nouakchott Sud,576,380,4,6,370,157,51,34,6,13,109,0.4243243243243243,0.13783783783783785,0.0918918918918919,0.016216216216216217,0.03513513513513514,0.2945945945945946,65.97
Ecole Youssef Ben Tachefine,Dar Naïm,Nouakchott Nord,472,327,15,2,310,142,66,5,2,0,95,0.45806451612903226,0.2129032258064516,0.016129032258064516,0.0064516129032258064,0.0,0.3064516129032258,69.28
Commune,Nouadhibou,Dakhlet Nouadhibou,328,240,7,0,233,98,50,6,5,1,73,0.4206008583690987,0.2145922746781116,0.02575107296137339,0.02145922746781116,0.004291845493562232,0.3133047210300429,73.17
Lycée Excellence,Tevragh Zeina,Nouakchott Ouest,561,298,7,3,288,94,72,16,34,1,71,0.3263888888888889,0.25,0.05555555555555555,0.11805555555555555,0.003472222222222222,0.2465277777777778,53.12
Ecole Dar  Salama,Dar Naïm,Nouakchott Nord,437,229,7,2,220,94,62,5,5,0,54,0.42727272727272725,0.2818181818181818,0.022727272727272728,0.022727272727272728,0.0,0.24545454545454545,52.4
Lycée Benichab,Bennechab,Inchiri,360,245,9,1,235,212,2,2,1,1,17,0.902127659574468,0.00851063829787234,0.00851063829787234,0.00425531914893617,0.00425531914893617,0.07234042553191489,68.06
Collége  Excellence,Arafat,Nouakchott Sud,566,485,17,8,460,215,93,26,4,0,122,0.4673913043478261,0.20217391304347826,0.05652173913043478,0.008695652173913044,0.0,0.26521739130434785,85.69
Ecole Dara,Keur Macène,Trarza,236,102,2,0,100,59,7,10,1,0,23,0.59,0.07,0.1,0.01,0.0,0.23,43.22
Ecole Bou'egal,R'Kiz,Trarza,350,191,18,2,171,114,30,7,1,0,19,0.6666666666666666,0.17543859649122806,0.04093567251461988,0.005847953216374269,0.0,0.1111111111111111,54.57
Ecole Nessibe (Elevage),Aïoun,Hodh El Gharbi,501,227,2,1,224,90,24,3,3,2,102,0.4017857142857143,0.10714285714285714,0.013392857142857142,0.013392857142857142,0.008928571428571428,0.45535714285714285,45.31
Ecole 2,Ksar,Nouakchott Ouest,565,389,4,4,381,159,90,9,12,1,110,0.41732283464566927,0.23622047244094488,0.023622047244094488,0.031496062992125984,0.0026246719160104987,0.2887139107611549,68.85
Ecole Syassa,Moudjeria,Tagant,444,201,4,1,196,163,7,4,0,0,22,0.8316326530612245,0.03571428571428571,0.02040816326530612,0.0,0.0,0.11224489795918367,45.27
Ecole Nazaha,Kiffa,Assaba,579,338,4,0,334,268,24,5,1,0,36,0.8023952095808383,0.0718562874251497,0.014970059880239521,0.0029940119760479044,0.0,0.10778443113772455,58.38
Gueni El megcem,Tintane,Hodh El Gharbi,538,236,4,0,232,179,4,3,1,1,44,0.771551724137931,0.017241379310344827,0.01293103448275862,0.004310344827586207,0.004310344827586207,0.1896551724137931,43.87
Leghligue ecole,Aïoun,Hodh El Gharbi,268,192,1,0,191,167,4,0,0,1,19,0.8743455497382199,0.020942408376963352,0.0,0.0,0.005235602094240838,0.09947643979057591,71.64
Ecole Bou'egal,R'Kiz,Trarza,350,209,24,0,185,98,36,8,1,0,42,0.5297297297297298,0.1945945945945946,0.043243243243243246,0.005405405405405406,0.0,0.22702702702702704,59.71
Ecole Demendhala,Djiguenni,Hodh Chargui,261,157,3,1,153,148,0,2,0,0,3,0.9673202614379085,0.0,0.013071895424836602,0.0,0.0,0.0196078431372549,60.15
Ecole Dar  Salama,Dar Naïm,Nouakchott Nord,437,244,4,2,238,110,48,2,5,0,73,0.46218487394957986,0.20168067226890757,0.008403361344537815,0.02100840336134454,0.0,0.3067226890756303,55.84
Direction Régionale de la Santé,Néma,Hodh Chargui,447,256,4,3,249,123,47,2,6,19,52,0.4939759036144578,0.18875502008032127,0.008032128514056224,0.024096385542168676,0.07630522088353414,0.20883534136546184,57.27
Collége 1,Sebkha,Nouakchott Ouest,499,266,6,1,259,56,97,8,74,3,21,0.21621621621621623,0.3745173745173745,0.03088803088803089,0.2857142857142857,0.011583011583011582,0.08108108108108109,53.31
Ecole Tembel,Maghama,Gorgol,252,229,11,3,215,40,61,13,91,0,10,0.18604651162790697,0.2837209302325581,0.06046511627906977,0.4232558139534884,0.0,0.046511627906976744,90.87
Ecole 2,Magtalahjar,Brakna,315,138,4,0,134,56,7,3,0,1,67,0.417910447761194,0.05223880597014925,0.022388059701492536,0.0,0.007462686567164179,0.5,43.81
Ecole Hamza,Arafat,Nouakchott Sud,542,455,6,5,444,164,107,14,30,6,123,0.36936936936936937,0.240990990990991,0.03153153153153153,0.06756756756756757,0.013513513513513514,0.27702702702702703,83.95
Ecole Ahmed Zeidane,Sebkha,Nouakchott Ouest,552,425,11,7,407,35,161,3,192,0,16,0.085995085995086,0.3955773955773956,0.007371007371007371,0.47174447174447176,0.0,0.03931203931203931,76.99
M'Balka,Timbedra,Hodh Chargui,443,226,20,0,206,145,8,0,0,2,51,0.7038834951456311,0.038834951456310676,0.0,0.0,0.009708737864077669,0.24757281553398058,51.02
Egueyl,Koubenni,Hodh El Gharbi,96,79,5,0,74,42,2,5,0,1,24,0.5675675675675675,0.02702702702702703,0.06756756756756757,0.0,0.013513513513513514,0.32432432432432434,82.29
CAC,F'Deirick,Tiris Zemmour,591,363,4,4,355,213,26,5,1,0,110,0.6,0.07323943661971831,0.014084507042253521,0.0028169014084507044,0.0,0.30985915492957744,61.42
Dispensaire Nbeika,Moudjeria,Tagant,522,304,11,1,292,124,16,9,0,1,142,0.4246575342465753,0.0547945205479452,0.030821917808219176,0.0,0.003424657534246575,0.4863013698630137,58.24
PMI,Néma,Hodh Chargui,319,165,8,1,156,77,26,1,1,20,31,0.4935897435897436,0.16666666666666666,0.00641025641025641,0.00641025641025641,0.1282051282051282,0.1987179487179487,51.72
Mnessirat,Koubenni,Hodh El Gharbi,460,289,18,0,271,117,15,0,1,0,138,0.4317343173431734,0.055350553505535055,0.0,0.0036900369003690036,0.0,0.5092250922509225,62.83
Lycée Tevragh-Zeina,Tevragh Zeina,Nouakchott Ouest,514,278,14,0,264,96,42,44,11,2,69,0.36363636363636365,0.1590909090909091,0.16666666666666666,0.041666666666666664,0.007575757575757576,0.26136363636363635,54.09
Ecole Tensoueilim 1,Dar Naïm,Nouakchott Nord,568,307,6,3,298,89,47,23,20,1,118,0.2986577181208054,0.15771812080536912,0.07718120805369127,0.06711409395973154,0.003355704697986577,0.3959731543624161,54.05
Ecole ILOT K,Tevragh Zeina,Nouakchott Ouest,464,342,21,2,319,141,85,13,26,2,52,0.44200626959247646,0.2664576802507837,0.04075235109717868,0.08150470219435736,0.006269592476489028,0.16300940438871472,73.71
Ecole Jebel Rahma,Arafat,Nouakchott Sud,512,437,13,5,419,80,125,5,124,0,85,0.1909307875894988,0.29832935560859186,0.011933174224343675,0.29594272076372313,0.0,0.20286396181384247,85.35
ISERI,Ksar,Nouakchott Ouest,596,361,3,9,349,58,126,25,88,2,50,0.166189111747851,0.36103151862464183,0.07163323782234957,0.2521489971346705,0.0057306590257879654,0.14326647564469913,60.57
Lycée des Jeunes Filles,Tevragh Zeina,Nouakchott Ouest,579,351,14,10,327,108,92,11,31,2,83,0.3302752293577982,0.28134556574923547,0.03363914373088685,0.09480122324159021,0.0061162079510703364,0.25382262996941896,60.62
lemreyveg,Atar,Adrar,103,105,2,2,101,69,10,0,0,3,19,0.6831683168316832,0.09900990099009901,0.0,0.0,0.0297029702970297,0.18811881188118812,101.94
Ecole Tensoueilim 1,Dar Naïm,Nouakchott Nord,570,436,13,5,418,255,47,7,8,1,100,0.6100478468899522,0.11244019138755981,0.01674641148325359,0.019138755980861243,0.0023923444976076554,0.23923444976076555,76.49
Ecole Lighatha,Djiguenni,Hodh Chargui,543,409,11,0,398,375,2,1,0,0,20,0.9422110552763819,0.005025125628140704,0.002512562814070352,0.0,0.0,0.05025125628140704,75.32
Institut Ibn Abbass,Ksar,Nouakchott Ouest,418,253,4,5,244,110,29,4,6,1,94,0.45081967213114754,0.11885245901639344,0.01639344262295082,0.02459016393442623,0.004098360655737705,0.38524590163934425,60.53
Ecole 3,Bassiknou,Hodh Chargui,434,222,5,1,216,111,7,6,2,2,88,0.5138888888888888,0.032407407407407406,0.027777777777777776,0.009259259259259259,0.009259259259259259,0.4074074074074074,51.15
Lycée,Dar Naïm,Nouakchott Nord,406,269,7,4,258,78,66,12,16,2,84,0.3023255813953488,0.2558139534883721,0.046511627906976744,0.06201550387596899,0.007751937984496124,0.32558139534883723,66.26
BATIMENT DU CSA,Kaédi,Gorgol,399,315,6,1,308,66,210,7,17,0,8,0.21428571428571427,0.6818181818181818,0.022727272727272728,0.05519480519480519,0.0,0.025974025974025976,78.95
Laftah,Boumdeid,Assaba,579,178,1,1,176,150,2,3,0,0,21,0.8522727272727273,0.011363636363636364,0.017045454545454544,0.0,0.0,0.11931818181818182,30.74
Essava,Aïoun,Hodh El Gharbi,421,298,3,1,294,185,37,1,0,1,70,0.6292517006802721,0.12585034013605442,0.003401360544217687,0.0,0.003401360544217687,0.23809523809523808,70.78
Bureaux de la Commune,Arafat,Nouakchott Sud,456,351,11,4,336,124,56,8,43,1,104,0.36904761904761907,0.16666666666666666,0.023809523809523808,0.12797619047619047,0.002976190476190476,0.30952380952380953,76.97
ISERI,Ksar,Nouakchott Ouest,596,389,35,3,351,142,100,16,56,3,34,0.4045584045584046,0.2849002849002849,0.045584045584045586,0.15954415954415954,0.008547008547008548,0.09686609686609686,65.27
Lycée Tevragh-Zeina,Tevragh Zeina,Nouakchott Ouest,515,261,4,2,255,102,24,19,12,5,93,0.4,0.09411764705882353,0.07450980392156863,0.047058823529411764,0.0196078431372549,0.36470588235294116,50.68
Ecole Ahmed Zeidane,Sebkha,Nouakchott Ouest,552,413,6,6,401,39,145,7,199,0,11,0.09725685785536159,0.36159600997506236,0.017456359102244388,0.49625935162094764,0.0,0.02743142144638404,74.82
Collège 3 (El marbat),El Mina,Nouakchott Sud,461,342,11,17,314,132,79,7,62,1,33,0.42038216560509556,0.2515923566878981,0.022292993630573247,0.19745222929936307,0.0031847133757961785,0.10509554140127389,74.19
Ecole Majra kaye,Koubenni,Hodh El Gharbi,131,86,0,0,86,83,0,0,0,0,3,0.9651162790697675,0.0,0.0,0.0,0.0,0.03488372093023256,65.65
Ecole 2 Cansado,Nouadhibou,Dakhlet Nouadhibou,500,348,7,0,341,90,62,14,80,3,92,0.26392961876832843,0.18181818181818182,0.04105571847507331,0.23460410557184752,0.008797653958944282,0.2697947214076246,69.6
CFPF,Tevragh Zeina,Nouakchott Ouest,594,360,2,20,338,114,81,11,24,0,108,0.33727810650887574,0.23964497041420119,0.03254437869822485,0.07100591715976332,0.0,0.31952662721893493,60.61
Ecole Tourougueiline,Moudjeria,Tagant,281,244,3,0,241,218,7,5,0,0,11,0.9045643153526971,0.029045643153526972,0.02074688796680498,0.0,0.0,0.04564315352697095,86.83
Hotel de Ville,Bassiknou,Hodh Chargui,410,212,5,1,206,134,25,9,18,1,19,0.6504854368932039,0.12135922330097088,0.043689320388349516,0.08737864077669903,0.0048543689320388345,0.09223300970873786,51.71
Ecole Jebel Rahma,Arafat,Nouakchott Sud,514,382,3,6,373,97,76,4,97,0,99,0.26005361930294907,0.2037533512064343,0.010723860589812333,0.26005361930294907,0.0,0.26541554959785524,74.32
Ecole Idini,Ouad Naga,Trarza,445,249,2,4,243,110,11,4,1,0,117,0.45267489711934156,0.04526748971193416,0.01646090534979424,0.00411522633744856,0.0,0.48148148148148145,55.96
Lycée,Aleg,Brakna,373,238,9,0,229,146,28,1,1,0,53,0.6375545851528385,0.1222707423580786,0.004366812227074236,0.004366812227074236,0.0,0.2314410480349345,63.81
Ecole Bou Said,Dar Naïm,Nouakchott Nord,417,272,8,2,262,107,84,6,12,1,52,0.4083969465648855,0.32061068702290074,0.022900763358778626,0.04580152671755725,0.003816793893129771,0.1984732824427481,65.23
Ecole 2,Ksar,Nouakchott Ouest,571,318,7,8,303,115,57,16,9,0,106,0.3795379537953795,0.18811881188118812,0.052805280528052806,0.0297029702970297,0.0,0.34983498349834985,55.69
El ghedeh ecole,Tamcheket,Hodh El Gharbi,402,314,2,0,312,302,9,0,0,0,1,0.967948717948718,0.028846153846153848,0.0,0.0,0.0,0.003205128205128205,78.11
Direction Régionale de l'Enseignement,Atar,Adrar,396,200,0,1,199,113,20,7,5,0,54,0.5678391959798995,0.10050251256281408,0.035175879396984924,0.02512562814070352,0.0,0.271356783919598,50.51
Ecole Zahra,Dar Naïm,Nouakchott Nord,589,428,13,4,411,176,62,19,32,3,119,0.4282238442822384,0.15085158150851583,0.046228710462287104,0.07785888077858881,0.0072992700729927005,0.2895377128953771,72.67
Selam Jam(disensaire,Dar Naïm,Nouakchott Nord,357,266,2,10,254,64,93,11,31,0,55,0.25196850393700787,0.3661417322834646,0.04330708661417323,0.1220472440944882,0.0,0.21653543307086615,74.51
Ehl ahmed seyloum,Amourj,Hodh Chargui,211,105,1,1,103,100,0,0,0,0,3,0.970873786407767,0.0,0.0,0.0,0.0,0.02912621359223301,49.76
Ecole Chami,Chami,Dakhlet Nouadhibou,544,211,6,3,202,73,71,2,5,0,51,0.3613861386138614,0.35148514851485146,0.009900990099009901,0.024752475247524754,0.0,0.2524752475247525,38.79
Lycée,Koubenni,Hodh El Gharbi,411,148,3,1,144,94,8,1,2,0,39,0.6527777777777778,0.05555555555555555,0.006944444444444444,0.013888888888888888,0.0,0.2708333333333333,36.01
Collège,Barkéol,Assaba,459,368,6,0,362,103,59,162,4,0,34,0.2845303867403315,0.16298342541436464,0.44751381215469616,0.011049723756906077,0.0,0.09392265193370165,80.17
Ecole Barkeol Al Akhdar,Barkéol,Assaba,409,216,6,0,210,116,69,15,0,0,10,0.5523809523809524,0.32857142857142857,0.07142857142857142,0.0,0.0,0.047619047619047616,52.81
Ecole Imam Ahmed,Dar Naïm,Nouakchott Nord,522,369,12,2,355,128,107,11,15,0,94,0.36056338028169016,0.30140845070422534,0.030985915492957747,0.04225352112676056,0.0,0.2647887323943662,70.69
Ecole Boubaghja,Barkéol,Assaba,336,255,17,0,238,146,83,3,1,1,4,0.6134453781512605,0.3487394957983193,0.012605042016806723,0.004201680672268907,0.004201680672268907,0.01680672268907563,75.89
Ecole R'Kiz 1,R'Kiz,Trarza,557,313,9,3,301,150,101,12,1,0,37,0.4983388704318937,0.33554817275747506,0.03986710963455149,0.0033222591362126247,0.0,0.12292358803986711,56.19
Ecole Med Ould Med Salem,Riyad,Nouakchott Sud,538,394,5,6,383,56,164,18,89,1,55,0.1462140992167102,0.4281984334203655,0.04699738903394256,0.23237597911227154,0.0026109660574412533,0.14360313315926893,73.23
Ecole Danuel,Maghama,Gorgol,176,128,6,2,120,31,5,5,76,0,3,0.25833333333333336,0.041666666666666664,0.041666666666666664,0.6333333333333333,0.0,0.025,72.73
Ecole 2,Ksar,Nouakchott Ouest,571,298,0,2,296,129,60,9,10,1,87,0.4358108108108108,0.20270270270270271,0.030405405405405407,0.033783783783783786,0.0033783783783783786,0.2939189189189189,52.19
Ecole 4,Riyad,Nouakchott Sud,358,238,7,6,225,52,118,4,9,0,42,0.2311111111111111,0.5244444444444445,0.017777777777777778,0.04,0.0,0.18666666666666668,66.48
Dispensaire Suisse,Riyad,Nouakchott Sud,495,388,16,8,364,58,151,15,95,0,45,0.15934065934065933,0.41483516483516486,0.04120879120879121,0.260989010989011,0.0,0.12362637362637363,78.38
Ecole Bilal,Riyad,Nouakchott Sud,487,322,7,6,309,43,136,4,95,0,31,0.13915857605177995,0.4401294498381877,0.012944983818770227,0.3074433656957929,0.0,0.10032362459546926,66.12
Ehl Gdawiya,Néma,Hodh Chargui,90,86,0,0,86,74,1,0,0,1,10,0.8604651162790697,0.011627906976744186,0.0,0.0,0.011627906976744186,0.11627906976744186,95.56
Ecole 2,F'Deirick,Tiris Zemmour,517,308,8,0,300,188,9,5,1,0,97,0.6266666666666667,0.03,0.016666666666666666,0.0033333333333333335,0.0,0.3233333333333333,59.57
Hotel de Ville,Barkéol,Assaba,561,336,7,2,327,157,76,38,7,1,48,0.4801223241590214,0.2324159021406728,0.1162079510703364,0.021406727828746176,0.0030581039755351682,0.14678899082568808,59.89
Tewfik Ecole 2,Ouad Naga,Trarza,363,262,5,8,249,202,13,2,2,0,30,0.8112449799196787,0.05220883534136546,0.008032128514056224,0.008032128514056224,0.0,0.12048192771084337,72.18
Lycée,Djiguenni,Hodh Chargui,496,301,5,1,295,225,6,1,2,1,60,0.7627118644067796,0.020338983050847456,0.003389830508474576,0.006779661016949152,0.003389830508474576,0.2033898305084746,60.69
PMI,Timbedra,Hodh Chargui,387,212,6,6,200,80,29,10,0,2,79,0.4,0.145,0.05,0.0,0.01,0.395,54.78
Ecole PK 14,Rosso,Trarza,414,194,2,0,192,77,27,1,2,0,85,0.4010416666666667,0.140625,0.005208333333333333,0.010416666666666666,0.0,0.4427083333333333,46.86
Medina Ilem,Néma,Hodh Chargui,243,158,1,0,157,124,2,0,0,0,31,0.7898089171974523,0.012738853503184714,0.0,0.0,0.0,0.19745222929936307,65.02
Patecone,Kaédi,Gorgol,207,186,5,5,176,68,44,2,29,1,32,0.38636363636363635,0.25,0.011363636363636364,0.16477272727272727,0.005681818181818182,0.18181818181818182,89.86
Ecole Fimbo,Maghama,Gorgol,495,359,15,10,334,38,59,3,210,0,24,0.11377245508982035,0.17664670658682635,0.008982035928143712,0.6287425149700598,0.0,0.0718562874251497,72.53
Ecole Ghasrem,Ouad Naga,Trarza,507,263,4,4,255,194,7,2,1,1,50,0.7607843137254902,0.027450980392156862,0.00784313725490196,0.00392156862745098,0.00392156862745098,0.19607843137254902,51.87
Ecole 7,Zoueratt,Tiris Zemmour,482,388,7,7,374,70,79,18,106,1,100,0.18716577540106952,0.21122994652406418,0.0481283422459893,0.28342245989304815,0.00267379679144385,0.26737967914438504,80.5
Ecole 4,Sebkha,Nouakchott Ouest,526,420,7,5,408,16,238,2,139,0,13,0.0392156862745098,0.5833333333333334,0.004901960784313725,0.34068627450980393,0.0,0.031862745098039214,79.85
Ecole Bir Essaada,Rosso,Trarza,517,266,13,3,250,177,37,2,2,1,31,0.708,0.148,0.008,0.008,0.004,0.124,51.45
Ecole Zahra,Dar Naïm,Nouakchott Nord,589,398,18,11,369,118,91,3,72,0,85,0.31978319783197834,0.24661246612466126,0.008130081300813009,0.1951219512195122,0.0,0.23035230352303523,67.57
Dispensaire Seif,Kiffa,Assaba,412,212,4,12,196,144,34,2,3,2,11,0.7346938775510204,0.17346938775510204,0.01020408163265306,0.015306122448979591,0.01020408163265306,0.05612244897959184,51.46
Lycée Excellence,Tevragh Zeina,Nouakchott Ouest,561,417,5,6,406,104,152,23,56,2,69,0.2561576354679803,0.37438423645320196,0.05665024630541872,0.13793103448275862,0.0049261083743842365,0.16995073891625614,74.33
Ecole El Medina,Riyad,Nouakchott Sud,499,318,6,4,308,98,91,10,27,1,81,0.3181818181818182,0.29545454545454547,0.032467532467532464,0.08766233766233766,0.003246753246753247,0.262987012987013,63.73
Dispensaire Kissal,El Mina,Nouakchott Sud,525,357,12,5,340,99,157,5,34,0,45,0.2911764705882353,0.46176470588235297,0.014705882352941176,0.1,0.0,0.1323529411764706,68.0
Ecole 1,Ksar,Nouakchott Ouest,600,453,9,16,428,245,48,30,4,2,99,0.572429906542056,0.11214953271028037,0.07009345794392523,0.009345794392523364,0.004672897196261682,0.23130841121495327,75.5
Bureau des Douanes,Rosso,Trarza,331,271,7,1,263,125,87,9,1,2,39,0.4752851711026616,0.33079847908745247,0.034220532319391636,0.0038022813688212928,0.0076045627376425855,0.1482889733840304,81.87
Ecole PK 6,Rosso,Trarza,372,299,8,4,287,127,105,3,46,0,6,0.4425087108013937,0.36585365853658536,0.010452961672473868,0.1602787456445993,0.0,0.020905923344947737,80.38
Ecole Cheikh Med Vadhel,Arafat,Nouakchott Sud,484,359,4,4,351,249,23,7,1,3,68,0.7094017094017094,0.06552706552706553,0.019943019943019943,0.002849002849002849,0.008547008547008548,0.19373219373219372,74.17
Ecole N'Djourbel,Rosso,Trarza,580,421,22,0,399,40,269,5,66,0,19,0.10025062656641603,0.6741854636591479,0.012531328320802004,0.16541353383458646,0.0,0.047619047619047616,72.59
Ecole Rosso 1,Rosso,Trarza,516,382,7,3,372,77,190,6,52,1,46,0.20698924731182797,0.510752688172043,0.016129032258064516,0.13978494623655913,0.002688172043010753,0.12365591397849462,74.03
Ecole El Kheiriya,Rosso,Trarza,399,316,17,0,299,118,163,2,2,0,14,0.39464882943143814,0.5451505016722408,0.006688963210702341,0.006688963210702341,0.0,0.046822742474916385,79.2
Ecole Teidoumeh Voulane,Ould Yengé,Guidimagha,383,134,1,0,133,79,44,1,4,0,5,0.5939849624060151,0.3308270676691729,0.007518796992481203,0.03007518796992481,0.0,0.03759398496240601,34.99
Ecole Tachout,Maghama,Gorgol,204,117,2,2,113,56,15,16,22,1,3,0.49557522123893805,0.13274336283185842,0.1415929203539823,0.19469026548672566,0.008849557522123894,0.02654867256637168,57.35
Ecole Dar  Salama,Dar Naïm,Nouakchott Nord,545,241,6,2,233,106,42,6,0,1,78,0.45493562231759654,0.18025751072961374,0.02575107296137339,0.0,0.004291845493562232,0.33476394849785407,44.22
Tabye,Tintane,Hodh El Gharbi,545,230,9,1,220,161,3,4,0,3,49,0.7318181818181818,0.013636363636363636,0.01818181818181818,0.0,0.013636363636363636,0.22272727272727272,42.2
Ecole 1 Rgueiba,Boghé,Brakna,547,367,16,4,347,226,27,22,10,0,62,0.6512968299711815,0.07780979827089338,0.06340057636887608,0.02881844380403458,0.0,0.1786743515850144,67.09
Ecole N'beiket Lahwach,N'beiket Lahwach,Hodh Chargui,448,124,2,3,119,62,16,3,2,7,29,0.5210084033613446,0.13445378151260504,0.025210084033613446,0.01680672268907563,0.058823529411764705,0.24369747899159663,27.68
Ecole 4,Zoueratt,Tiris Zemmour,527,374,15,3,356,144,80,6,15,1,110,0.4044943820224719,0.2247191011235955,0.016853932584269662,0.042134831460674156,0.0028089887640449437,0.3089887640449438,70.97
Hotel de Ville,Guerou,Assaba,410,173,5,2,166,104,29,1,6,0,26,0.6265060240963856,0.1746987951807229,0.006024096385542169,0.03614457831325301,0.0,0.1566265060240964,42.2
Ecole 1,Ksar,Nouakchott Ouest,585,412,18,4,390,246,39,13,5,3,84,0.6307692307692307,0.1,0.03333333333333333,0.01282051282051282,0.007692307692307693,0.2153846153846154,70.43
Maison des Jeunes,Atar,Adrar,470,248,4,2,242,137,40,6,2,0,57,0.5661157024793388,0.1652892561983471,0.024793388429752067,0.008264462809917356,0.0,0.23553719008264462,52.77
Ecole Teidouma Zbeiratte,Ould Yengé,Guidimagha,290,184,9,0,175,66,103,1,0,0,5,0.37714285714285717,0.5885714285714285,0.005714285714285714,0.0,0.0,0.02857142857142857,63.45
Ecole Kembo,Maghama,Gorgol,144,87,10,5,72,48,11,2,8,0,3,0.6666666666666666,0.1527777777777778,0.027777777777777776,0.1111111111111111,0.0,0.041666666666666664,60.42
Ecole Leweinatt,Ould Yengé,Guidimagha,372,206,9,0,197,157,14,3,17,0,6,0.7969543147208121,0.07106598984771574,0.015228426395939087,0.08629441624365482,0.0,0.030456852791878174,55.38
Ecole 2 Rass El Imane,Nouadhibou,Dakhlet Nouadhibou,513,380,3,0,377,141,63,18,27,1,127,0.3740053050397878,0.16710875331564987,0.04774535809018567,0.07161803713527852,0.002652519893899204,0.33687002652519893,74.07
Ecole 6,Zoueratt,Tiris Zemmour,309,226,10,3,213,71,46,5,32,0,59,0.3333333333333333,0.215962441314554,0.023474178403755867,0.15023474178403756,0.0,0.27699530516431925,73.14
Lycée Excellence,Tevragh Zeina,Nouakchott Ouest,561,162,14,0,148,50,37,6,10,1,44,0.33783783783783783,0.25,0.04054054054054054,0.06756756756756757,0.006756756756756757,0.2972972972972973,28.88
Ecole Imam Ahmed,Dar Naïm,Nouakchott Nord,522,355,10,3,342,110,102,9,23,0,98,0.3216374269005848,0.2982456140350877,0.02631578947368421,0.06725146198830409,0.0,0.28654970760233917,68.01
Arafat,Ouad Naga,Trarza,145,90,1,7,82,31,0,1,0,0,50,0.3780487804878049,0.0,0.012195121951219513,0.0,0.0,0.6097560975609756,62.07
C.S.A,Kiffa,Assaba,308,132,3,0,129,56,36,4,4,1,28,0.43410852713178294,0.27906976744186046,0.031007751937984496,0.031007751937984496,0.007751937984496124,0.21705426356589147,42.86
Ecole R'Kiz 1,R'Kiz,Trarza,557,337,12,2,323,152,121,7,2,0,41,0.47058823529411764,0.3746130030959752,0.021671826625386997,0.006191950464396285,0.0,0.12693498452012383,60.5
Lycée de Guerou,Guerou,Assaba,275,170,5,1,164,111,25,0,1,0,27,0.676829268292683,0.1524390243902439,0.0,0.006097560975609756,0.0,0.16463414634146342,61.82
Ecole 1 Boghé,Boghé,Brakna,306,142,4,4,134,43,34,2,30,0,25,0.3208955223880597,0.2537313432835821,0.014925373134328358,0.22388059701492538,0.0,0.1865671641791045,46.41
ISERI,Ksar,Nouakchott Ouest,596,395,7,3,385,114,138,20,69,1,43,0.2961038961038961,0.35844155844155845,0.05194805194805195,0.17922077922077922,0.0025974025974025974,0.11168831168831168,66.28
Collège de Djeol,Kaédi,Gorgol,439,358,8,12,338,81,55,0,191,2,9,0.23964497041420119,0.16272189349112426,0.0,0.5650887573964497,0.005917159763313609,0.026627218934911243,81.55
Ecole Cheikh Med Vadhel,Arafat,Nouakchott Sud,485,334,5,0,329,162,39,8,0,2,118,0.49240121580547114,0.11854103343465046,0.0243161094224924,0.0,0.0060790273556231,0.3586626139817629,68.87
Ecole Arafat 1,El Mina,Nouakchott Sud,401,302,6,3,293,108,115,3,23,1,43,0.36860068259385664,0.3924914675767918,0.010238907849829351,0.07849829351535836,0.0034129692832764505,0.14675767918088736,75.31
Tenyachel Mahadra,Ouad Naga,Trarza,339,295,2,3,290,199,22,4,0,1,64,0.6862068965517242,0.07586206896551724,0.013793103448275862,0.0,0.0034482758620689655,0.2206896551724138,87.02
Ecole Bouyagui,Dar Naïm,Nouakchott Nord,438,296,19,7,270,89,83,3,2,0,93,0.3296296296296296,0.3074074074074074,0.011111111111111112,0.007407407407407408,0.0,0.34444444444444444,67.58
